time	V(out)	V(vc)
0.000000000000000e+00	4.663860e+00	-3.759395e-01
9.999999999073250e-10	4.663865e+00	-3.766223e-01
2.999999999938815e-09	4.663874e+00	-3.779880e-01
7.000000000001796e-09	4.663891e+00	-3.807184e-01
1.397656655341417e-08	4.663923e+00	-3.854786e-01
2.397656655335478e-08	4.663968e+00	-3.922974e-01
1.554051379811457e-07	4.664618e+00	-4.813956e-01
2.868337094089367e-07	4.665369e+00	-5.695869e-01
4.182622808367277e-07	4.666220e+00	-6.568712e-01
5.496908522645186e-07	4.667172e+00	-7.432487e-01
6.811194236923095e-07	4.668224e+00	-8.287192e-01
8.125479951201006e-07	4.669377e+00	-9.132828e-01
9.439765665478911e-07	4.670630e+00	-9.969395e-01
1.105405137975504e-06	4.672305e+00	-1.098487e+00
1.266833709403117e-06	4.674128e+00	-1.198763e+00
1.428262280830730e-06	4.676099e+00	-1.297769e+00
1.589690852258342e-06	4.678217e+00	-1.395504e+00
1.751119423685955e-06	4.680482e+00	-1.491968e+00
1.912547995113568e-06	4.682894e+00	-1.587161e+00
2.073976566541180e-06	4.685454e+00	-1.681083e+00
2.106833709398128e-06	4.685992e+00	-1.700056e+00
2.139690852255076e-06	4.686537e+00	-1.718977e+00
2.172547995112024e-06	4.687088e+00	-1.737847e+00
2.205405137968971e-06	4.687644e+00	-1.756666e+00
2.238262280825919e-06	4.688206e+00	-1.775434e+00
2.271119423682867e-06	4.688775e+00	-1.794150e+00
2.303976566539814e-06	4.689349e+00	-1.812816e+00
2.333976566539636e-06	4.689879e+00	-1.829813e+00
2.353976566539517e-06	4.690235e+00	-1.841120e+00
2.363976566539458e-06	4.690413e+00	-1.846766e+00
2.373976566539399e-06	4.690593e+00	-1.852407e+00
2.383976566539339e-06	4.690773e+00	-1.858042e+00
2.393976566539280e-06	4.690953e+00	-1.863672e+00
2.403976566539220e-06	4.691134e+00	-1.869294e+00
2.413976566539161e-06	4.691316e+00	-1.874902e+00
2.423976566539102e-06	4.691498e+00	-1.880488e+00
2.433976566539042e-06	4.691680e+00	-1.886038e+00
2.443976566538983e-06	4.691864e+00	-1.891538e+00
2.453976566538923e-06	4.692048e+00	-1.896968e+00
2.463976566538864e-06	4.692232e+00	-1.902301e+00
2.473976566538805e-06	4.692417e+00	-1.907503e+00
2.483976566538745e-06	4.692602e+00	-1.912532e+00
2.493976566538686e-06	4.692788e+00	-1.917332e+00
2.503976566538627e-06	4.692974e+00	-1.921832e+00
2.513976566538567e-06	4.693161e+00	-1.925939e+00
2.523976566538508e-06	4.693349e+00	-1.929538e+00
2.533976566538448e-06	4.693537e+00	-1.932485e+00
2.543976566538389e-06	4.693726e+00	-1.934601e+00
2.553976566538330e-06	4.693915e+00	-1.935762e+00
2.561265850080548e-06	4.694053e+00	-1.935929e+00
2.564664311501463e-06	4.694118e+00	-1.935733e+00
2.567010411510823e-06	4.694162e+00	-1.935452e+00
2.569617179617751e-06	4.694212e+00	-1.935014e+00
2.572365668557447e-06	4.694264e+00	-1.934409e+00
2.575659964505024e-06	4.694327e+00	-1.933451e+00
2.580647452626091e-06	4.694422e+00	-1.931481e+00
2.587662271353718e-06	4.694557e+00	-1.927646e+00
2.595569522911671e-06	4.694708e+00	-1.922205e+00
2.595682952651664e-06	4.694710e+00	-1.922114e+00
2.595909812131651e-06	4.694715e+00	-1.921916e+00
2.596363531091623e-06	4.694723e+00	-1.921513e+00
2.597270969011568e-06	4.694741e+00	-1.920692e+00
2.597678706048193e-06	4.694748e+00	-1.920318e+00
2.598076338959166e-06	4.694756e+00	-1.919950e+00
2.598352547718156e-06	4.694761e+00	-1.919695e+00
2.598672672324016e-06	4.694767e+00	-1.919399e+00
2.599129771613425e-06	4.694777e+00	-1.918978e+00
2.599286162391357e-06	4.694779e+00	-1.918834e+00
2.599374675505079e-06	4.694781e+00	-1.918753e+00
2.599435941926702e-06	4.694782e+00	-1.918696e+00
2.599513442023971e-06	4.694784e+00	-1.918625e+00
2.599600055963732e-06	4.694785e+00	-1.918546e+00
2.599699487965861e-06	4.694787e+00	-1.918454e+00
2.599808883795495e-06	4.694789e+00	-1.918354e+00
2.599947550907793e-06	4.694792e+00	-1.918227e+00
2.600113229295469e-06	4.694795e+00	-1.918075e+00
2.600325360276219e-06	4.694799e+00	-1.917881e+00
2.600483835525202e-06	4.694802e+00	-1.917737e+00
2.600699129769657e-06	4.694807e+00	-1.917540e+00
2.600905678036428e-06	4.694810e+00	-1.917352e+00
2.601295214630381e-06	4.694818e+00	-1.916997e+00
2.601703508382487e-06	4.694826e+00	-1.916626e+00
2.602172771133107e-06	4.694835e+00	-1.916201e+00
2.602968754784277e-06	4.694850e+00	-1.915482e+00
2.603866481389354e-06	4.694867e+00	-1.914673e+00
2.605152299174282e-06	4.694892e+00	-1.913520e+00
2.606574401170340e-06	4.694920e+00	-1.912250e+00
2.607478738701850e-06	4.694937e+00	-1.911445e+00
2.608472949903497e-06	4.694956e+00	-1.910563e+00
2.609664794899890e-06	4.694979e+00	-1.909508e+00
2.610908809714879e-06	4.695003e+00	-1.908411e+00
